train,validation
4.047517776489258,3.280245542526245
3.2690141201019287,2.783688545227051
2.733891725540161,2.3646676540374756
2.455725908279419,2.1261250972747803
2.3168349266052246,1.9959443807601929
2.1875460147857666,1.8976761102676392
2.049334764480591,1.7434921264648438
1.9309773445129395,1.71256685256958
1.856985092163086,1.7024617195129395
1.787466287612915,1.7345218658447266
1.7372329235076904,1.651761770248413
1.7013177871704102,1.65035080909729
1.644917607307434,1.6459789276123047
1.636299967765808,1.7062610387802124
1.6044597625732422,1.572088360786438
1.6014726161956787,1.617052674293518
1.5872397422790527,1.5649454593658447
1.5395177602767944,1.5364744663238525
1.526211142539978,1.5732777118682861
1.503412127494812,1.539868950843811
1.5006811618804932,1.5194307565689087
1.488879680633545,1.6743226051330566
1.4622464179992676,1.5038540363311768
1.4602314233779907,1.6180310249328613
1.4661518335342407,1.458254337310791
1.452104091644287,1.5219836235046387
1.4250648021697998,1.5529215335845947
1.4233404397964478,1.526397705078125
1.4263216257095337,1.5242583751678467
1.3968830108642578,1.4515223503112793
1.3979865312576294,1.4760550260543823
1.394605278968811,1.4897558689117432
1.3870848417282104,1.4558483362197876
1.441520094871521,1.3812257051467896
1.345345377922058,1.4466818571090698
1.3398398160934448,1.473203420639038
1.3466912508010864,1.5174322128295898
1.331312894821167,1.4826139211654663
1.3128961324691772,1.4500279426574707
